|--------------------|--------------------|--------------------|--------------------|-----------|-----------|--------------|
| Open               | High               | Low                | Close              | Volume    | Dividends | Stock Splits |
|--------------------|--------------------|--------------------|--------------------|-----------|-----------|--------------|
| 23.192714243401902 | 23.511516685468887 |  22.64809741639852 |  23.32554817199707 |  13767900 |       0.0 |            0 |
|--------------------|--------------------|--------------------|--------------------|-----------|-----------|--------------|
| 23.245845561611464 | 23.245845561611464 | 22.687945166788943 | 23.132938385009766 |  16739300 |       0.0 |            0 |
|--------------------|--------------------|--------------------|--------------------|-----------|-----------|--------------|
|  22.99346783880716 | 23.172793287495562 |  22.74772668331423 | 22.840709686279297 |  21372100 |       0.0 |            0 |
|--------------------|--------------------|--------------------|--------------------|-----------|-----------|--------------|
| 22.681316767430634 | 23.544733844318436 | 22.681316767430634 |     22.88720703125 |  17897100 |       0.0 |            0 |
|--------------------|--------------------|--------------------|--------------------|-----------|-----------|--------------|
| 22.774294434137943 | 23.006751946191358 |  22.15661872085674 | 22.389076232910156 |  17863300 |       0.0 |            0 |
|--------------------|--------------------|--------------------|--------------------|-----------|-----------|--------------|
| 22.322655454245165 | 22.548472357630544 | 22.322655454245165 |   22.5152645111084 |  18800400 |       0.0 |            0 |
|--------------------|--------------------|--------------------|--------------------|-----------|-----------|--------------|
| 22.355872834904883 | 22.581689834594727 |  22.13669892751033 | 22.581689834594727 |  15658100 |       0.0 |            0 |
|--------------------|--------------------|--------------------|--------------------|-----------|-----------|--------------|
| 22.574960567183858 | 22.783304382189122 |  22.41366171625103 | 22.749698638916016 |  11191500 |       0.4 |            0 |
|--------------------|--------------------|--------------------|--------------------|-----------|-----------|--------------|
| 22.857234058494278 | 23.018532935585778 |  22.71609914338839 | 22.911001205444336 |  11584900 |       0.0 |            0 |
|--------------------|--------------------|--------------------|--------------------|-----------|-----------|--------------|
|  22.65561765068185 | 23.334413938022877 |  22.65561765068185 |  23.25376319885254 |  13040200 |       0.0 |            0 |
|--------------------|--------------------|--------------------|--------------------|-----------|-----------|--------------|
|  23.16638499894073 |   23.8855037689209 | 23.152943215120022 |   23.8855037689209 |  16512700 |       0.0 |            0 |
|--------------------|--------------------|--------------------|--------------------|-----------|-----------|--------------|
|  24.02664232833128 |  24.66511305680088 |  24.02664232833128 | 24.476930618286133 |  14424800 |       0.0 |            0 |
|--------------------|--------------------|--------------------|--------------------|-----------|-----------|--------------|
| 24.483655035200503 |  25.08180046081543 | 24.221546595999243 |  25.08180046081543 |  17842200 |       0.0 |            0 |
|--------------------|--------------------|--------------------|--------------------|-----------|-----------|--------------|
| 24.853292931557114 |  25.03475319525427 | 24.147615837462723 | 24.476930618286133 |  15809700 |       0.0 |            0 |
|--------------------|--------------------|--------------------|--------------------|-----------|-----------|--------------|
| 24.806245034845887 |  25.43127390366311 | 24.530694866295363 | 25.404390335083008 |  10981600 |       0.0 |            0 |
|--------------------|--------------------|--------------------|--------------------|-----------|-----------|--------------|
| 25.397673682499985 | 25.888287329309257 | 25.021311369823955 | 25.175888061523438 |  11327100 |       0.0 |            0 |
|--------------------|--------------------|--------------------|--------------------|-----------|-----------|--------------|
| 25.216212990830048 |   25.4312764333471 | 24.624787242028916 | 25.269977569580078 |   8934600 |       0.0 |            0 |
|--------------------|--------------------|--------------------|--------------------|-----------|-----------|--------------|
| 25.303584242882643 | 25.451438762682823 |  24.67183311404698 |  24.79280662536621 |   7140100 |       0.0 |            0 |
|--------------------|--------------------|--------------------|--------------------|-----------|-----------|--------------|
|  24.67183307259397 | 25.175888514324342 | 24.362679683634727 |   25.0750789642334 |   8838500 |       0.0 |            0 |
|--------------------|--------------------|--------------------|--------------------|-----------|-----------|--------------|
| 24.739042549739153 |  25.22293404113706 | 24.739042549739153 | 24.819690704345703 |  10841800 |       0.0 |            0 |
